,Region,Average_R2
53,1_101575460_102433189,-0.18839189038717835
54,1_102433189_103371589,-0.11305137729950077
55,1_103371589_105545220,-0.030417406824158277
56,1_105545220_107867043,-0.649767278667516
57,1_107867043_109761309,-485.53539919724716
58,1_109761309_111199115,-1.9593789808545374
59,1_111199115_112730684,-2.9591524060125756
60,1_112730684_114331223,-1.2279707258233743
61,1_114331223_115337972,-0.5798574309565894
62,1_115337972_118296444,-12.614517771331396
63,1_151566405_153208353,-0.635056476036357
64,1_153208353_154797927,-1.6124570877361564
65,1_154797927_156366342,-2.192797334220461
66,1_156366342_158057622,-1.8895930475584226
67,1_158057622_159943258,-4.672710819337597
68,1_165222465_166491280,-0.8560589133122776
69,1_166491280_169117086,-7.511964975350567
70,1_169117086_170588635,-2.012496836294095
71,1_170588635_173128768,-11.234855956932735
72,1_173128768_175120632,-5.34082387918622
73,1_175120632_177464245,-8.548627988031315
74,1_177464245_178975174,-0.6667737975540927
75,1_178985335_181174985,-14.060584796941686
76,1_181174985_182786221,-1.0673877560593152
77,1_182786221_184626379,-2.0867788921351598
78,1_184626379_186840891,-7.645420544500491
79,1_186840891_188790814,-0.19241097132462626
80,1_189935000_191899800,-0.14693944631006883
81,1_191899800_194138312,-0.4854917898399284
82,1_196207071_197342384,-0.9757654246634335
83,1_197342384_199270756,-1.3146577555906809
84,1_199270756_200168521,-0.12265518894904126
85,1_200168521_201620847,-8.80551503047181
86,1_201620847_203365606,-363.7769114535769
87,1_203365606_204711940,-1.547072139255086
88,1_208237019_210614406,-26.864237032391827
89,1_210614406_212668988,-14.882894769949198
90,1_212668988_214404923,-9.724407105549721
91,1_214404923_216070292,-3.80204354814476
92,1_218532171_219417229,-0.01599486900573379
93,1_219417229_221684889,-1.0271814845130376
94,1_221684889_222056878,-0.036740353936445834
95,1_222056878_224750818,-15.602481771082527
96,1_224750818_226623159,-1.867774843076227
97,1_226623159_229020501,-4.527357286526009
98,1_229020501_230549509,-1.127634787996536
99,1_230549509_231954506,-1.861438030594177
100,1_231954506_233293538,-4.3875319915285385
101,1_233293538_234463688,-0.9886094862022772
102,1_234463688_235656136,-9.665997551026418
103,1_235656136_237392328,-7.228039497169069
104,1_237392328_238404507,-1.3026343607217914
105,1_238404507_239762014,-0.30420853216799026
106,1_239762014_240400791,-1.3022662156875686
107,1_240400791_241418920,-5.284095447414722
108,1_241418920_241908300,-0.38576688468323034
109,1_241908300_243946197,-24.112003149370793
110,1_243946197_245343444,-183.5249563112354
111,2_10133_1777250,-6.718268967168294
112,2_5568205_6696122,-0.013049995572138772
113,2_6696122_8282017,-0.16324808756465048
114,2_8282017_10158342,-1839.2745237676645
115,2_10158342_12279024,-102.20761339978557
116,2_12279024_14195184,-0.024637237558491433
117,2_14195184_16148467,-0.5292115894856634
118,2_16148467_18466157,-0.6339164742942602
119,2_18466157_19492643,-0.40109316054846234
120,2_19492643_20850730,-0.5940789969671255
121,2_20850730_23118512,-0.06435037454086343
122,2_23118512_24464049,-0.6156049384332434
123,2_24464049_26672117,-2.779246205813615
124,2_26672117_28375910,-0.6557940136132581
125,2_28375910_28994693,-0.3545896713266484
126,2_28994693_30240845,-1.1473007587785873
127,2_30240845_31327584,-1.3109303216967765
128,2_31327584_33138710,-6.462128538484549
129,2_33138710_35119962,-0.6548367970131922
130,2_35896940_37905569,-2.483201693582879
131,2_37905569_38804195,-0.5357843129073421
132,2_38804195_40054343,-0.33721300836649076
133,2_40054343_43082452,-7.292730199361271
134,2_43082452_44086664,-0.475942172380067
135,2_44086664_46255495,-29.760663380821956
136,2_46255495_47091633,-0.6380414875016104
137,2_47091633_47985862,-0.9348868461743379
138,2_47985862_49795119,-0.835496001393024
139,2_49795119_50591790,-1.4187898254574542
140,2_50591790_52263995,-1.4187898254574542
141,2_53281314_54458089,-0.5570235446816305
142,2_54458089_55976210,-1.5861162217559903
143,2_55976210_57201965,-0.14230524889110216
144,2_57201965_58070180,-0.08888490383332473
145,2_58070180_60064865,-0.11515766952734312
146,2_60064865_62201909,-1.4132472810600405
147,2_62201909_64398779,-1.533715223479188
148,2_64398779_65706310,-1.1476178231716587
149,2_65706310_66999034,-0.054648095074450474
150,2_66999034_67783044,-0.025594331460233953
151,2_67783044_68912432,-0.5551614158281548
152,2_68912432_70528066,-1.096873646744212
153,2_70528066_72947719,-564.1042630510008
154,2_72947719_75402960,-2.809521519640895
155,2_75402960_76686535,-0.10463515245521285
156,2_76686535_77852138,-0.9397376436696023
157,2_77852138_79823277,-1.7781685999228745
158,2_79823277_81393717,-1.7745841322086282
159,2_81393717_84913556,-0.1712221070992055
160,2_84913556_87738988,-71.81327525830108
161,2_87738988_88855013,-1.2888772617684234
162,2_98378738_101205867,-26.30217992820898
163,2_101205867_102072305,-0.87926883505479
164,2_102072305_102971757,-0.6703165320836622
165,2_102971757_104508576,-0.09482351496532888
166,2_104508576_105593601,-0.2685296377573497
167,2_105593601_106791811,-1.7820714033039065
168,2_106791811_107812721,-0.03876831751926872
169,2_107812721_109814855,-55.593531701207986
170,2_117609890_120546207,-4406.52425519499
